ticker,name,signal_date,entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,exit_reason,signal_score,box_high,box_low,box_range_pct,vcp_score,reason
051910,LG화학,2025-09-16,2025-09-17,2025-09-30,289500.0,278000.0,-3.97,10,time_exit,67,302500,264500,14.37,14,"박스권 형성 여부: 최근 20일 박스폭 14.37%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단 95% 이상 구간에 근접했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 3.19% → 3.04% → 3.00% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.12배이고, 돌파일 거래량은 20일 평균의 1.42배입니다."
015760,한국전력,2025-05-09,2025-05-12,2025-05-13,27000.0,25650.0,-5.0,2,stop_loss,80,26700,22250,20.0,14,"박스권 형성 여부: 최근 20일 박스폭 20.00%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단을 돌파했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 2.24% → 2.15% → 1.98% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.08배이고, 돌파일 거래량은 20일 평균의 1.22배입니다."
010140,삼성중공업,2025-01-09,2025-01-10,2025-01-15,12000.0,13200.0,10.0,4,take_profit,86,12020,10040,19.72,17,"박스권 형성 여부: 최근 20일 박스폭 19.72%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단을 돌파했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 3.36% → 2.94% → 2.60% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.14배이고, 돌파일 거래량은 20일 평균의 1.21배입니다."
096770,SK이노베이션,2025-02-19,2025-02-20,2025-03-04,130000.0,123500.0,-5.0,8,stop_loss,81,131200,120000,9.33,14,"박스권 형성 여부: 최근 20일 박스폭 9.33%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단 95% 이상 구간에 근접했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 3.19% → 3.09% → 3.07% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.24배이고, 돌파일 거래량은 20일 평균의 1.15배입니다."
316140,우리금융지주,2025-09-25,2025-09-26,2025-10-13,26500.0,25175.0,-5.0,7,stop_loss,80,26950,23750,13.47,14,"박스권 형성 여부: 최근 20일 박스폭 13.47%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단 95% 이상 구간에 근접했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 2.26% → 2.20% → 1.97% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.23배이고, 돌파일 거래량은 20일 평균의 1.33배입니다."
267250,HD현대,2025-05-07,2025-05-08,2025-05-21,79300.0,84200.0,6.18,10,time_exit,86,78800,66300,18.85,14,"박스권 형성 여부: 최근 20일 박스폭 18.85%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단을 돌파했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 2.24% → 2.11% → 1.97% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.22배이고, 돌파일 거래량은 20일 평균의 1.61배입니다."
066570,LG전자,2025-06-12,2025-06-13,2025-06-26,74200.0,74700.0,0.67,10,time_exit,94,74600,68300,9.22,14,"박스권 형성 여부: 최근 20일 박스폭 9.22%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단을 돌파했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 1.97% → 1.96% → 1.87% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.43배이고, 돌파일 거래량은 20일 평균의 2.17배입니다."
272210,한화시스템,2025-09-15,2025-09-16,2025-09-24,56100.0,61710.0,10.0,7,take_profit,76,55900,47550,17.56,14,"박스권 형성 여부: 최근 20일 박스폭 17.56%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단 95% 이상 구간에 근접했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 4.14% → 3.68% → 3.19% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.06배이고, 돌파일 거래량은 20일 평균의 2.05배입니다."
000810,삼성화재,2025-09-11,2025-09-12,2025-09-17,474500.0,450775.0,-5.0,4,stop_loss,84,476000,432000,10.19,14,"박스권 형성 여부: 최근 20일 박스폭 10.19%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단 95% 이상 구간에 근접했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 2.48% → 2.42% → 2.34% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.12배이고, 돌파일 거래량은 20일 평균의 1.43배입니다."
033780,KT&G,2025-06-24,2025-06-25,2025-07-07,123500.0,135850.0,10.0,9,take_profit,76,127600,119100,7.14,14,"박스권 형성 여부: 최근 20일 박스폭 7.14%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단 95% 이상 구간에 근접했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 2.78% → 2.72% → 2.71% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.12배이고, 돌파일 거래량은 20일 평균의 1.43배입니다."
033780,KT&G,2025-11-24,2025-11-25,2025-12-08,146400.0,139080.0,-5.0,10,stop_loss,94,146200,132100,10.67,14,"박스권 형성 여부: 최근 20일 박스폭 10.67%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단을 돌파했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 2.35% → 2.24% → 2.22% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.29배이고, 돌파일 거래량은 20일 평균의 1.79배입니다."
138040,메리츠금융지주,2025-02-27,2025-02-28,2025-03-10,121600.0,115520.0,-5.0,6,stop_loss,65,127200,107600,18.22,14,"박스권 형성 여부: 최근 20일 박스폭 18.22%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단 95% 이상 구간에 근접했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 2.58% → 2.56% → 2.23% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.07배이고, 돌파일 거래량은 20일 평균의 1.16배입니다."
